[4037]   [0.0019238]
[15]   [0.00153659]
[6634]   [0.00149775]
[2625]   [0.00137114]
[2398]   [0.00108928]
[2470]   [0.00105384]
[2237]   [0.00104251]
[4191]   [0.000946977]
[7553]   [0.000906005]
[5254]   [0.000897809]
[2328]   [0.000851525]
[1186]   [0.00084997]
[1297]   [0.000812517]
[4335]   [0.000808726]
[7620]   [0.000806771]
[5412]   [0.000801274]
[7632]   [0.000796608]
[4875]   [0.00078244]
[6946]   [0.000755136]
[3352]   [0.000744919]
[6832]   [0.000738333]
[2654]   [0.000737831]
[762]   [0.000727461]
[737]   [0.000726412]
[2066]   [0.000716417]
[3089]   [0.000710701]
[28]   [0.000705189]
[2535]   [0.00069575]
[3334]   [0.00069189]
[214]   [0.000689617]
[665]   [0.000686088]
[4735]   [0.000676124]
[6774]   [0.000674322]
[7092]   [0.000668785]
[2565]   [0.000647719]
[5484]   [0.000644313]
[8042]   [0.000616662]
[4310]   [0.00061048]
[5423]   [0.000591952]
[1211]   [0.000591933]
[3456]   [0.000591635]
[2657]   [0.000570057]
[5404]   [0.000569541]
[5233]   [0.000568634]
[4712]   [0.000560327]
[271]   [0.000553801]
[4828]   [0.000543096]
[5079]   [0.000542487]
[4261]   [0.000536888]
[5210]   [0.000534606]
[8163]   [0.000527493]
[6914]   [0.000526345]
[3459]   [0.000525012]
[2285]   [0.000518476]
[1549]   [0.000518412]
[1842]   [0.000515772]
[4666]   [0.000506061]
[993]   [0.000501183]
[3084]   [0.000494182]
[3562]   [0.000491973]
[1026]   [0.000489755]
[5123]   [0.000486415]
[2958]   [0.00048393]
[3537]   [0.000477825]
[3117]   [0.000477614]
[2576]   [0.000476042]
[2643]   [0.000468178]
[922]   [0.00046352]
[5022]   [0.000462636]
[299]   [0.000461018]
[1855]   [0.000459937]
[3897]   [0.000458926]
[2651]   [0.000458788]
[4110]   [0.000457853]
[282]   [0.00044881]
[4600]   [0.000446989]
[1031]   [0.000446468]
[4687]   [0.000446156]
[7699]   [0.000444851]
[4536]   [0.000444502]
[2871]   [0.000444299]
[2746]   [0.000444223]
[3443]   [0.000443748]
[3755]   [0.00044319]
[1385]   [0.000442371]
[3568]   [0.000439157]
[5459]   [0.000438286]
[5543]   [0.000438072]
[4400]   [0.000435598]
[2485]   [0.000429906]
[1633]   [0.000424721]
[7890]   [0.000423497]
[3976]   [0.000422978]
[4256]   [0.000422407]
[1726]   [0.000416045]
[3238]   [0.00041367]
[2323]   [0.000412033]
[6784]   [0.000410091]
[3034]   [0.000408795]
[3192]   [0.000407071]
