[4037]   [0.00194314]
[15]   [0.00155712]
[6634]   [0.00155187]
[2625]   [0.00139452]
[2398]   [0.00111082]
[2470]   [0.00105807]
[2237]   [0.0010503]
[4191]   [0.000962259]
[7553]   [0.000920035]
[5254]   [0.000910444]
[2328]   [0.000864491]
[1186]   [0.000854561]
[1297]   [0.00082571]
[4335]   [0.000825024]
[5412]   [0.000819875]
[7620]   [0.000819523]
[7632]   [0.000813254]
[4875]   [0.00079478]
[6946]   [0.00078469]
[3352]   [0.000756968]
[6832]   [0.000752367]
[2654]   [0.000745459]
[737]   [0.000740575]
[762]   [0.000739003]
[2066]   [0.000731603]
[3089]   [0.000724657]
[28]   [0.000709936]
[2535]   [0.000706331]
[3334]   [0.000703501]
[214]   [0.000695259]
[665]   [0.000688716]
[4735]   [0.000688183]
[7092]   [0.000681058]
[6774]   [0.000679633]
[2565]   [0.000658666]
[5484]   [0.000655202]
[8042]   [0.000645209]
[4310]   [0.00062307]
[3456]   [0.000604322]
[5423]   [0.000601243]
[1211]   [0.000600611]
[5233]   [0.000581348]
[5404]   [0.000580763]
[2657]   [0.000579303]
[4712]   [0.00057376]
[271]   [0.000558544]
[4828]   [0.000557217]
[8163]   [0.000553725]
[5079]   [0.000552463]
[5210]   [0.000542229]
[4261]   [0.000541304]
[3459]   [0.000535018]
[6914]   [0.000534632]
[1549]   [0.000529983]
[2285]   [0.000520373]
[1842]   [0.000519833]
[4666]   [0.000514019]
[993]   [0.000508803]
[3084]   [0.000507058]
[3562]   [0.000500799]
[5123]   [0.000497159]
[1026]   [0.000496126]
[2958]   [0.000492474]
[3117]   [0.000486336]
[3537]   [0.000484764]
[2576]   [0.000483757]
[2643]   [0.000472062]
[5022]   [0.000470247]
[922]   [0.000468514]
[3897]   [0.000467797]
[2651]   [0.000466888]
[299]   [0.000464797]
[4110]   [0.000462986]
[1855]   [0.000462357]
[2746]   [0.000456657]
[7699]   [0.000453448]
[1031]   [0.00045344]
[4536]   [0.000453072]
[4600]   [0.000452119]
[282]   [0.000451663]
[4687]   [0.000450977]
[2871]   [0.000450932]
[3443]   [0.000450396]
[1385]   [0.000448469]
[3755]   [0.000448448]
[3568]   [0.000447747]
[5459]   [0.000445998]
[4400]   [0.000445602]
[5543]   [0.000444193]
[2485]   [0.000436955]
[3976]   [0.000431896]
[1633]   [0.000430927]
[7890]   [0.000430384]
[4256]   [0.000429204]
[3238]   [0.000421831]
[1726]   [0.000421239]
[2323]   [0.000418871]
[3034]   [0.000417197]
[6784]   [0.000416939]
[2859]   [0.000416257]
